Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
36313,9.4,334,85,32,39,10,8,3,1,0,21,2,11557,1
24756,8,272,86,10,9,32,1,0,0,0,22,2,-11557,0
27188,9,363,88,11,22,15,2,0,2,0,20,8,-1502,0
28690,8.8,376,78,15,25,11,2,0,0,0,27,10,1502,1
24352,8.2,348,82,8,13,14,3,0,1,0,22,8,-4558,0
28910,9.2,354,85,14,11,8,10,2,1,0,25,5,4558,1
26393,8.6,347,78,11,14,13,5,1,1,0,21,4,-70,1
26463,8.8,330,81,13,24,11,1,0,1,0,20,7,70,0
28954,8.8,341,83,14,11,14,8,1,2,0,22,7,3543,1
25411,8.8,315,96,14,10,14,3,0,0,0,27,5,-3543,0
29925,9.6,347,106,17,14,6,5,1,1,0,20,6,6349,1
23576,8.6,325,95,6,8,17,2,0,1,0,21,3,-6349,0
28781,8.8,320,80,15,17,24,5,1,0,0,21,1,-2414,0
31195,9.2,321,86,24,27,15,6,1,2,0,18,9,2414,1
24903,8.6,297,82,10,15,22,4,0,0,0,15,8,-6658,0
31561,9.4,322,90,22,23,10,7,2,1,0,17,8,6658,1
25367,9,334,94,11,11,8,2,0,0,0,22,6,401,0
24966,9,360,73,8,14,11,3,0,1,0,20,6,-401,1
22961,8.2,252,88,9,6,22,1,0,0,0,26,2,-5549,0
28510,9.4,339,76,22,21,9,4,0,1,0,23,7,5549,1
30451,9,343,50,24,25,9,5,1,0,0,23,7,4745,1
25706,8.8,296,75,9,9,24,3,0,0,0,21,3,-4745,0
24996,8.6,263,79,12,17,21,1,0,1,0,21,8,-3373,0
28369,9.2,336,76,21,24,12,5,0,0,0,26,5,3373,1
26639,8.6,320,70,11,11,20,4,1,0,0,23,8,-3243,0
29882,8.6,345,70,20,24,11,10,1,1,0,17,6,3243,1
26595,8.8,342,66,15,14,10,4,1,1,0,23,6,2145,0
24450,8.2,300,67,10,10,15,1,1,0,0,18,7,-2145,1
23356,7.8,308,76,10,9,19,1,0,1,0,23,6,-7757,0
31113,9,328,92,19,9,10,9,4,1,0,16,3,7757,1
29724,9.2,340,85,23,38,12,1,0,2,0,20,6,2786,1
26938,9,316,78,12,15,23,4,0,0,0,22,6,-2786,0
26729,8.6,299,60,17,23,11,1,0,1,0,20,6,1421,1
25308,8.2,298,86,11,9,17,3,0,1,0,20,6,-1421,0
23354,8.8,316,74,9,11,5,1,0,2,0,24,5,1055,1
